"","normal_1","normal_2","normal_3","fibrosis_1","fibrosis_2","fibrosis_3","fibrosis_4"
"ENSMUSG00000046101",53,44,39,28,37,26,16
"ENSMUSG00000098234",164,162,136,295,269,288,263
"ENSMUSG00000093178",6,7,8,19,11,12,7
"ENSMUSG00000099032",261,180,293,484,396,405,383
"ENSMUSG00000104025",7,2,4,3,2,1,4
"ENSMUSG00000025916",5,5,2,21,6,19,9
"ENSMUSG00000087199",0,0,2,0,0,0,0
"ENSMUSG00000095780",0,0,0,0,0,0,0
"ENSMUSG00000025917",1324,1257,1561,1700,1623,1603,1353
"ENSMUSG00000056763",1457,1130,1492,1322,1509,1488,1205
"ENSMUSG00000102356",0,0,0,0,0,0,1
"ENSMUSG00000067851",5226,3934,5939,4470,5301,4126,4436
"ENSMUSG00000088153",5,1,2,1,7,1,5
"ENSMUSG00000102556",1,2,1,0,0,1,0
"ENSMUSG00000042501",0,0,0,1,0,1,0
"ENSMUSG00000103810",0,0,0,0,0,0,0
"ENSMUSG00000083422",0,0,2,0,1,1,2
"ENSMUSG00000094979",0,0,0,0,0,0,0
"ENSMUSG00000081417",0,0,0,0,2,0,1
"ENSMUSG00000103448",0,0,0,1,0,0,0
"ENSMUSG00000100212",0,0,0,0,0,0,0
"ENSMUSG00000100648",0,0,1,1,3,1,0
"ENSMUSG00000088585",0,0,0,0,0,0,0
"ENSMUSG00000048960",345,303,530,747,587,705,625
"ENSMUSG00000077318",0,0,0,0,0,0,0
"ENSMUSG00000101827",4,1,1,2,2,4,1
"ENSMUSG00000103494",0,0,0,0,0,0,0
"ENSMUSG00000057715",0,0,0,5,5,8,14
"ENSMUSG00000103825",0,0,0,0,0,0,0
"ENSMUSG00000099845",0,1,0,0,0,0,0
"ENSMUSG00000103561",0,0,0,0,0,0,0
"ENSMUSG00000101610",3,5,1,2,2,2,0
"ENSMUSG00000093864",0,0,0,0,0,0,0
"ENSMUSG00000098555",0,0,0,0,0,0,0
"ENSMUSG00000097628",6,1,6,5,1,6,4
"ENSMUSG00000098163",0,1,0,0,0,0,0
"ENSMUSG00000097171",0,0,1,0,0,0,0
"ENSMUSG00000101314",0,0,0,0,0,0,0
"ENSMUSG00000016918",88,83,89,1181,798,506,395
"ENSMUSG00000025938",1,0,2,36,39,46,33
"ENSMUSG00000104518",0,0,0,0,0,0,0
"ENSMUSG00000069620",0,0,0,0,0,0,0
"ENSMUSG00000099498",0,0,0,0,0,0,0
"ENSMUSG00000042414",0,0,0,0,0,0,0
"ENSMUSG00000005886",2258,1325,2584,1505,1859,1591,1564
"ENSMUSG00000103506",0,3,0,0,10,2,0
"ENSMUSG00000103495",1,0,0,0,1,4,1
"ENSMUSG00000099183",0,0,0,0,0,0,0
"ENSMUSG00000102639",0,0,0,0,0,0,0
"ENSMUSG00000104170",1,1,0,0,0,3,0
"ENSMUSG00000087782",0,0,0,0,0,1,0
"ENSMUSG00000103085",6,6,3,9,10,14,3
"ENSMUSG00000102664",2,1,0,2,7,5,2
"ENSMUSG00000101476",2,0,0,1,0,1,0
"ENSMUSG00000101171",3,1,2,5,5,1,1
"ENSMUSG00000025935",3576,3195,3839,4487,3770,4212,2898
"ENSMUSG00000025937",17762,13970,20122,3322,5173,2674,4304
"ENSMUSG00000102982",107,50,102,22,29,18,35
"ENSMUSG00000067813",9,19,20,11,7,2,6
"ENSMUSG00000077368",0,0,0,0,0,0,0
"ENSMUSG00000097711",21,19,36,7,18,6,16
"ENSMUSG00000102166",0,0,0,1,0,0,0
"ENSMUSG00000089358",0,0,0,0,0,0,0
"ENSMUSG00000104209",0,0,0,0,0,0,0
"ENSMUSG00000025932",5,1,4,6,1,7,4
"ENSMUSG00000095853",0,0,0,0,0,0,0
"ENSMUSG00000102588",0,0,0,0,0,0,0
"ENSMUSG00000054493",0,1,0,0,0,2,0
"ENSMUSG00000025930",1,0,1,13,15,21,8
"ENSMUSG00000103492",0,0,0,0,0,0,0
"ENSMUSG00000081201",1,1,0,0,0,0,0
"ENSMUSG00000082193",3,3,1,1,2,4,0
"ENSMUSG00000032769",0,0,0,0,0,0,2
"ENSMUSG00000088159",0,0,0,0,0,0,0
"ENSMUSG00000073737",5,10,17,2,10,5,8
"ENSMUSG00000092083",5,6,13,115,45,93,41
"ENSMUSG00000102937",0,0,0,0,0,1,0
"ENSMUSG00000104149",1,1,1,0,0,0,0
"ENSMUSG00000088829",0,0,0,0,0,0,0
"ENSMUSG00000077377",0,0,0,0,0,0,0
"ENSMUSG00000101652",0,0,0,0,0,0,0
"ENSMUSG00000100814",0,0,0,0,0,0,0
"ENSMUSG00000025925",242,221,323,478,496,457,374
"ENSMUSG00000104379",15,3,14,3,11,3,5
"ENSMUSG00000032719",40,6,35,6,24,26,19
"ENSMUSG00000088943",0,0,0,0,0,0,0
"ENSMUSG00000100652",0,0,0,7,4,7,9
"ENSMUSG00000067795",11,1,6,34,30,38,19
"ENSMUSG00000043716",7458,6526,8555,13929,14362,13314,11366
"ENSMUSG00000025921",1188,1048,1674,2677,2791,3269,2729
"ENSMUSG00000104165",0,1,0,1,1,3,1
"ENSMUSG00000100868",7,1,7,6,2,3,5
"ENSMUSG00000025920",787,713,912,1020,1092,873,797
"ENSMUSG00000089982",1,1,0,2,5,5,2
"ENSMUSG00000025939",1111,865,1197,1624,1497,1559,1246
"ENSMUSG00000102457",3,0,1,4,1,0,4
"ENSMUSG00000079658",1019,987,1174,1227,1209,1441,1104
"ENSMUSG00000097744",0,0,1,1,2,3,0
"ENSMUSG00000100959",3,2,4,2,2,4,1
"ENSMUSG00000025940",1449,1379,1617,851,878,732,739
"ENSMUSG00000025779",49,54,64,164,144,139,105
"ENSMUSG00000100093",0,0,0,0,0,0,0
"ENSMUSG00000091020",41,25,68,58,56,46,39
"ENSMUSG00000101640",0,0,0,2,0,0,0
"ENSMUSG00000104133",0,0,0,0,0,0,0
"ENSMUSG00000042686",60,55,50,46,48,50,38
"ENSMUSG00000100110",0,0,0,0,0,0,0
"ENSMUSG00000025777",0,0,0,8,6,2,6
"ENSMUSG00000099899",0,0,0,0,0,0,0
